name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
3865-55272-67,14:43:20.73,+33:42:12.10,0.58,2.20,19.56,85.19,3.18,2.75,201.93,0.71,$\rm A^{\star}$
5369-56272-541,11:16:34.56,+09:15:03.05,0.55,2.45,19.41,58.31,2.75,2.56,256.14,1.22,$\rm B^{\star}$
6833-56413-181,12:26:56.46,+54:57:39.05,0.50,2.73,18.88,38.18,2.29,1.72,237.51,1.12,$\rm C^{\star}$
4356-55829-547,23:42:48.68,-01:20:32.54,0.53,2.27,19.58,71.30,1.65,1.83,286.28,1.52,$\rm C^{\star}$
10751-58220-189,14:51:58.54,+35:05:44.62,0.75,2.94,20.55,37.42,1.88,3.79,258.86,1.11,C
3691-55274-138,08:15:35.86,+45:21:33.57,0.56,2.38,20.12,28.03,1.93,0.69,309.53,1.74,$\rm C^{\star}$
3973-55323-667,12:46:58.13,+37:27:00.16,0.50,2.15,19.35,52.14,1.92,1.84,93.35,0.16,C
5168-56035-693,15:02:56.13,+38:20:17.89,0.45,2.67,18.74,29.18,1.74,3.00,230.71,1.09,$\rm C^{\star}$
6422-56328-303,11:41:54.71,+22:16:28.89,0.59,2.76,19.73,28.30,2.32,5.22,267.86,1.33,$\rm C^{\star}$
4725-55711-295,15:58:21.52,+26:58:29.77,0.58,2.38,19.66,37.51,2.34,2.88,285.37,1.46,$\rm C^{\star}$
5980-56338-72,12:33:18.42,+25:23:12.13,0.39,2.53,18.68,25.00,1.79,5.57,220.82,1.04,C
4282-55507-607,23:33:11.12,+02:23:10.93,0.47,2.25,19.93,42.59,1.76,0.22,125.11,0.30,$\rm B^{\star}$
6160-56190-854,23:46:17.29,+09:09:31.44,0.18,2.71,17.36,27.63,1.61,7.59,211.96,1.14,$\rm C^{\star}$
3676-55186-623,07:48:16.74,+44:56:02.84,0.54,2.19,19.05,42.73,2.93,1.81,206.27,0.77,$\rm C^{\star}$
4473-55589-231,07:50:57.45,+22:10:35.84,0.45,2.76,19.33,21.50,2.03,1.84,207.03,0.88,$\rm C^{\star}$
7050-56573-273,01:45:26.41,-05:00:35.59,0.57,2.72,19.95,17.73,2.31,2.25,285.54,1.53,$\rm B^{\star}$
7166-56602-783,23:53:56.11,-08:32:38.86,0.48,2.60,19.28,16.98,2.27,2.23,236.98,1.12,$\rm C^{\star}$
6817-56455-897,13:28:08.68,+61:57:17.63,0.53,2.20,19.63,35.31,3.33,9.74,283.12,1.46,$\rm C^{\star}$
6014-56072-764,14:28:23.29,+23:58:39.22,0.47,2.79,19.37,17.94,1.75,1.74,227.36,1.06,$\rm C^{\star}$
5705-56194-259,00:59:48.32,+16:06:29.49,0.59,2.83,19.98,13.48,1.82,2.47,203.82,0.77,$\rm C^{\star}$
4657-55591-602,01:51:50.89,+14:30:37.36,0.56,2.25,19.19,46.44,2.08,4.76,255.66,1.17,$\rm C^{\star}$
6506-56564-729,23:02:17.65,+30:27:38.29,0.56,2.81,19.79,14.94,2.00,2.19,92.72,0.16,$\rm C^{\star}$
4723-56033-445,15:28:51.87,+31:02:33.89,0.74,2.15,19.81,64.99,3.05,2.05,428.00,2.70,$\rm B^{\star}$
3606-55182-695,01:51:45.36,-00:00:01.31,0.49,2.36,19.72,22.52,1.88,3.92,241.93,1.13,$\rm C^{\star}$
6732-56370-859,14:50:01.80,+48:18:32.21,0.52,2.23,19.47,18.10,2.13,5.82,226.33,0.95,C
4644-55922-885,09:21:33.07,+36:37:17.40,0.56,2.68,19.91,17.10,1.84,1.59,219.14,0.91,$\rm C^{\star}$
5960-56097-209,21:50:34.64,+24:50:16.53,0.50,2.28,19.10,23.86,2.44,1.59,201.49,0.77,$\rm C^{\star}$
6459-56273-547,09:57:55.84,+24:09:44.70,0.58,2.10,19.66,56.58,4.14,3.40,110.56,0.21,C
4707-55653-211,13:25:25.47,+39:39:14.54,0.51,2.83,19.82,13.96,3.59,3.79,199.61,0.79,$\rm C^{\star}$
7585-57190-637,22:34:03.96,+22:10:47.60,0.85,2.76,21.07,8.11,1.36,2.34,259.16,1.01,C
4398-55946-379,02:02:41.41,-06:46:11.33,0.50,2.75,19.40,17.74,2.35,3.96,159.53,0.50,$\rm C^{\star}$
4235-55451-195,02:09:58.61,-00:12:32.73,0.47,2.17,19.68,19.97,1.81,4.19,144.71,0.40,C
7120-56720-417,12:29:10.35,+66:09:24.48,0.51,2.41,19.43,41.45,2.61,8.92,196.17,0.74,$\rm C^{\star}$
6205-56187-591,00:42:32.96,+11:31:13.74,0.48,2.61,19.83,13.71,2.60,4.55,180.82,0.65,C
5004-55711-151,17:32:25.89,+26:42:40.33,0.50,2.20,19.95,15.67,2.75,5.18,176.88,0.59,$\rm C^{\star}$
7033-56565-181,23:55:25.25,-05:21:38.63,0.49,2.24,19.29,27.11,2.37,0.95,294.36,1.65,$\rm C^{\star}$
3923-55325-932,16:00:07.30,+14:51:12.23,0.34,2.37,18.13,18.23,3.14,4.84,193.75,0.82,$\rm C^{\star}$
5359-55953-51,11:05:00.96,+07:37:30.47,0.56,2.81,19.01,12.96,1.64,5.96,615.40,7.23,B
6497-56329-843,14:16:13.97,+30:14:57.05,0.57,2.39,19.49,8.86,2.11,0.39,303.54,1.67,$\rm C^{\star}$
5172-56071-193,14:48:17.66,+39:49:25.15,0.40,2.66,18.30,18.89,2.57,9.18,227.95,1.11,C
6315-56181-654,16:50:03.85,+49:42:49.82,0.39,2.69,18.14,9.42,2.32,9.95,279.80,1.69,$\rm C^{\star}$
6785-56487-647,15:45:25.18,+59:36:25.99,0.71,2.73,19.86,12.54,1.90,7.77,154.63,0.40,C
3876-55245-223,15:07:07.74,+30:47:56.83,0.62,2.50,19.87,11.60,2.62,5.22,155.21,0.42,B
4005-55325-923,13:05:21.79,+02:27:24.53,0.63,2.13,19.43,30.27,3.58,4.53,206.58,0.70,C
6177-56268-193,00:04:08.06,+14:11:50.71,0.58,2.90,19.81,12.55,1.48,1.26,173.64,0.57,C
5860-56046-853,13:05:52.60,+20:30:29.08,0.63,2.64,19.82,15.77,2.51,7.81,208.01,0.77,C
5782-56272-549,09:50:59.07,+20:23:10.61,0.65,2.21,19.77,22.94,2.28,1.56,281.30,1.29,C
3945-55648-275,15:24:18.57,+18:03:58.60,0.60,2.26,19.44,20.38,2.34,8.23,262.28,1.19,C
7037-56570-769,00:21:23.23,-04:29:26.17,0.56,2.15,19.77,43.13,3.07,1.22,231.63,0.95,$\rm C^{\star}$
6408-56329-327,11:18:16.50,+26:26:48.58,0.45,2.73,19.15,8.72,1.96,8.95,175.24,0.63,C
6629-56365-311,13:55:59.42,+44:42:43.37,0.51,2.91,19.74,6.58,1.91,2.58,186.38,0.69,C
6460-56334-699,10:07:53.34,+34:14:19.42,0.54,2.90,19.06,10.30,2.09,6.19,196.88,0.76,C
